190.30	0.000
190.68	0.117
191.06	0.114
191.44	0.116
191.81	0.119
192.19	0.134
192.57	0.127
192.95	0.129
193.33	0.122
193.70	0.125
194.08	0.119
194.46	0.120
194.84	0.124
195.21	0.124
195.59	0.130
195.97	0.127
196.35	0.125
196.72	0.167
197.10	0.124
197.48	0.124
197.85	0.125
198.23	0.134
198.61	0.123
198.98	0.122
199.36	0.124
199.74	0.132
200.11	0.137
200.49	0.128
200.86	0.128
201.24	0.132
201.62	0.127
201.99	0.164
202.37	0.131
202.74	0.127
203.12	0.126
203.49	0.125
203.87	0.135
204.24	0.128
204.62	0.173
204.99	0.131
205.37	0.139
205.74	0.133
206.12	0.167
206.49	0.133
206.87	0.158
207.24	0.134
207.61	0.160
207.99	0.133
208.36	0.130
208.74	0.135
209.11	0.133
209.48	0.136
209.86	0.153
210.23	0.134
210.60	0.132
210.98	0.128
211.35	0.133
211.72	0.156
212.10	0.130
212.47	0.139
212.84	0.129
213.22	0.134
213.59	0.130
213.96	0.137
214.33	0.139
214.71	0.135
215.08	0.136
215.45	0.143
215.82	0.142
216.19	0.144
216.57	0.132
216.94	0.141
217.31	0.137
217.68	0.137
218.05	0.147
218.42	0.141
218.80	0.140
219.17	0.131
219.54	0.136
219.91	0.148
220.28	0.137
220.65	0.139
221.02	0.136
221.39	0.143
221.76	0.146
222.13	0.144
222.50	0.138
222.87	0.137
223.24	0.138
223.61	0.141
223.98	0.150
224.35	0.182
224.72	0.137
225.09	0.148
225.46	0.426
225.83	0.150
226.20	0.141
226.57	0.162
226.94	0.144
227.31	0.146
227.68	0.146
228.05	0.149
228.42	0.149
228.79	0.152
229.15	0.148
229.52	0.142
229.89	0.154
230.26	0.153
230.63	0.148
231.00	0.164
231.37	0.147
231.73	0.169
232.10	0.148
232.47	0.150
232.84	0.164
233.20	0.154
233.57	0.159
233.94	0.161
234.31	0.153
234.67	0.159
235.04	0.157
235.41	0.163
235.78	0.152
236.14	0.196
236.51	0.160
236.88	0.159
237.24	0.159
237.61	0.201
237.98	0.164
238.34	0.160
238.71	0.180
239.08	0.166
239.44	0.164
239.81	0.167
240.17	0.165
240.54	0.167
240.91	0.168
241.27	0.167
241.64	0.182
242.00	0.177
242.37	0.172
242.73	0.180
243.10	0.176
243.46	0.182
243.83	0.176
244.19	0.169
244.56	0.182
244.92	0.186
245.29	0.192
245.65	0.183
246.02	0.183
246.38	0.205
246.75	0.227
247.11	0.188
247.48	0.188
247.84	0.183
248.20	0.186
248.57	0.185
248.93	0.186
249.30	0.186
249.66	0.184
250.02	0.184
250.39	0.181
250.75	0.181
251.11	0.184
251.48	0.211
251.84	0.217
252.20	0.197
252.57	0.195
252.93	0.201
253.29	0.205
253.66	0.206
254.02	0.213
254.38	0.216
254.74	0.196
255.11	0.203
255.47	0.212
255.83	0.205
256.19	0.205
256.56	0.200
256.92	0.202
257.28	0.206
257.64	0.206
258.00	0.203
258.37	0.211
258.73	0.201
259.09	0.204
259.45	0.209
259.81	0.203
260.17	0.216
260.53	0.215
260.89	0.208
261.26	0.210
261.62	0.218
261.98	0.217
262.34	0.224
262.70	0.250
263.06	0.220
263.42	0.219
263.78	0.215
264.14	0.217
264.50	0.219
264.86	0.221
265.22	0.217
265.58	0.220
265.94	0.226
266.30	0.233
266.66	0.226
267.02	0.235
267.38	0.240
267.74	0.226
268.10	0.265
268.46	0.228
268.82	0.227
269.18	0.230
269.54	0.233
269.90	0.241
270.26	0.243
270.61	0.229
270.97	0.233
271.33	0.242
271.69	0.240
272.05	0.231
272.41	0.238
272.77	0.227
273.13	0.262
273.48	0.242
273.84	0.239
274.20	0.241
274.56	0.250
274.92	0.247
275.27	0.246
275.63	0.247
275.99	0.249
276.35	0.244
276.70	0.296
277.06	0.250
277.42	0.252
277.78	0.251
278.13	0.253
278.49	0.257
278.85	0.260
279.21	0.256
279.56	0.257
279.92	0.308
280.28	0.247
280.63	0.257
280.99	0.265
281.35	0.340
281.70	0.268
282.06	0.273
282.42	0.258
282.77	0.269
283.13	0.262
283.48	0.269
283.84	0.267
284.20	0.276
284.55	0.270
284.91	0.264
285.26	0.271
285.62	0.261
285.97	0.267
286.33	0.267
286.69	0.280
287.04	0.272
287.40	0.265
287.75	0.278
288.11	0.270
288.46	0.287
288.82	0.280
289.17	0.280
289.53	0.283
289.88	0.288
290.24	0.294
290.59	0.290
290.95	0.291
291.30	0.293
291.65	0.293
292.01	0.278
292.36	0.286
292.72	0.302
293.07	0.287
293.42	0.281
293.78	0.294
294.13	0.299
294.49	0.296
294.84	0.299
295.19	0.294
295.55	0.290
295.90	0.293
296.25	0.295
296.61	0.292
296.96	0.295
297.31	0.310
297.67	0.300
298.02	0.306
298.37	0.301
298.73	0.306
299.08	0.309
299.43	0.309
299.78	0.355
300.14	0.310
300.49	0.308
300.84	0.318
301.19	0.312
301.55	0.324
301.90	0.320
302.25	0.326
302.60	0.313
302.96	0.310
303.31	0.329
303.66	0.311
304.01	0.317
304.36	0.321
304.71	0.334
305.07	0.329
305.42	0.328
305.77	0.320
306.12	0.322
306.47	0.319
306.82	0.324
307.17	0.321
307.53	0.367
307.88	0.346
308.23	0.320
308.58	0.326
308.93	0.319
309.28	0.320
309.63	0.319
309.98	0.328
310.33	0.320
310.68	0.321
311.03	0.318
311.38	0.333
311.73	0.322
312.08	0.319
312.43	0.319
312.78	0.318
313.13	0.313
313.48	0.321
313.83	0.309
314.18	0.323
314.53	0.315
314.88	0.331
315.23	0.340
315.58	0.325
315.93	0.320
316.28	0.334
316.63	0.318
316.98	0.356
317.33	0.323
317.68	0.328
318.03	0.315
318.38	0.327
318.72	0.333
319.07	0.336
319.42	0.322
319.77	0.325
320.12	0.319
320.47	0.324
320.82	0.312
321.17	0.319
321.51	0.332
321.86	0.317
322.21	0.325
322.56	0.327
322.91	0.333
323.25	0.329
323.60	0.309
323.95	0.320
324.30	0.327
324.65	0.319
324.99	0.325
325.34	0.321
325.69	0.321
326.04	0.331
326.38	0.332
326.73	0.335
327.08	0.328
327.43	0.328
327.77	0.339
328.12	0.356
328.47	0.338
328.82	0.339
329.16	0.340
329.51	0.339
329.86	0.344
330.20	0.334
330.55	0.342
330.90	0.352
331.24	0.365
331.59	0.345
331.94	0.354
332.28	0.350
332.63	0.367
332.97	0.381
333.32	0.365
333.67	0.355
334.01	0.362
334.36	0.381
334.70	0.391
335.05	0.396
335.40	0.408
335.74	0.424
336.09	0.438
336.43	0.445
336.78	0.483
337.12	0.443
337.47	0.433
337.82	0.449
338.16	0.425
338.51	0.426
338.85	0.428
339.20	0.418
339.54	0.411
339.89	0.404
340.23	0.403
340.58	0.403
340.92	0.400
341.27	0.388
341.61	0.390
341.96	0.384
342.30	0.398
342.64	0.382
342.99	0.400
343.33	0.370
343.68	0.380
344.02	0.376
344.37	0.372
344.71	0.381
345.05	0.372
345.40	0.384
345.74	0.387
346.09	0.406
346.43	0.403
346.77	0.429
347.12	0.433
347.46	0.416
347.81	0.406
348.15	0.385
348.49	0.379
348.84	0.369
349.18	0.380
349.52	0.372
349.87	0.377
350.21	0.373
350.55	0.378
350.90	0.377
351.24	0.372
351.58	0.380
351.92	0.369
352.27	0.379
352.61	0.363
352.95	0.373
353.30	0.354
353.64	0.364
353.98	0.363
